,ATS__c,Industry,numJobs,awards,contentCount,followers,freshContent,photos,starRating,clicks,monthOfSignupPageViews,timeOnSite,intDifficulty,intDuration,has_interviews,basePayAmount,subsidiary,employeesTotalNum,RespondedContacts,employerId,isWon
0,CustomCrawl,Manufacturing,39.0,0.0,24.0,56.0,2.0,0.0,3.11111111111,133.0,836.0,0,2.5,33.0,1,53558.0,0,760.0,,EKETL,False
1,other,Advertising & Marketing,1.0,0.0,24.0,30.0,0.0,0.0,4.4,1.0,121.0,582,2.7,11.0,1,57150.0,0,25.0,2.0,oKs80,False
2,greenhouse,Retail,45.0,30.0,314.0,704.0,40.0,38.0,3.00884955752,665.0,4786.0,902,2.4,11.0,1,74585.0,0,350.0,8.0,TCfko,False
3,UNKNOWN,Business Services,0.0,0.0,2.0,6.0,0.0,0.0,4.0,27.0,72.0,0,,,0,44733.0,0,400.0,,1XXgK,False
4,UNKNOWN,,0.0,0.0,6.0,14.0,0.0,0.0,3.0,,14.0,0,,,0,38285.0,0,40.0,,ZKTxw,False
5,UNKNOWN,"Oil, Gas, Energy & Utilities",0.0,0.0,70.0,104.0,22.0,2.0,3.0,,983.0,0,2.7,21.0,1,51350.0,0,175.0,,nNnTA,False
6,UNKNOWN,Non-Profit,0.0,0.0,14.0,30.0,6.0,0.0,2.2,8.0,871.0,31,1.5,21.0,1,24791.0,0,750.0,3.0,upZ9V,False
7,iCIMS Master Feed,Manufacturing,17.0,0.0,24.0,48.0,6.0,0.0,4.81818181818,52.0,439.0,0,3.0,15.0,1,53301.0,0,300.0,,lnZtZ,False
8,CustomCrawl,Advertising & Marketing,13.0,0.0,10.0,10.0,2.0,0.0,3.5,,50.0,0,4.0,21.0,1,50968.0,1,110.0,,bjbzj,False
9,CustomCrawl,Information Technology,12.0,0.0,152.0,606.0,20.0,0.0,3.23214285714,167.0,761.0,98,3.2,6.0,1,641167.0,0,450.0,2.0,uOgYc,False
10,UNKNOWN,Accounting & Legal,0.0,0.0,208.0,576.0,40.0,0.0,2.2183908046,13.0,2082.0,629,2.0,6.0,1,35187.0,0,225.0,14.0,RF4aG,False
11,UNKNOWN,Biotech & Pharmaceuticals,0.0,0.0,22.0,98.0,0.0,0.0,3.4,67.0,471.0,-99,4.0,14.0,1,73233.0,0,125.0,2.0,nlaYs,False
12,iCIMS Master Feed,Retail,23.0,0.0,6.0,14.0,0.0,0.0,2.66666666667,23.0,176.0,401,,,0,73703.0,0,350.0,2.0,YA2oT,False
13,UNKNOWN,Manufacturing,0.0,0.0,2.0,6.0,2.0,0.0,1.0,12.0,44.0,430,,,0,40000.0,0,125.0,4.0,ERgCb,False
14,taleo,,79.0,,,,,,,,,0,2.5,9.0,1,47906.0,1,307.0,1.0,OvXIH,False
15,EMPLOYER SOURCE,Transportation & Logistics,2.0,10.0,16.0,28.0,6.0,12.0,4.0,,94.0,652,3.0,5.0,1,30125.0,0,75.0,1.0,hgdiQ,False
16,CustomCrawl,Government,52.0,4.0,502.0,2608.0,34.0,2.0,3.8137254902,2067.0,13903.0,0,2.8,39.0,1,78497.0,0,14000.0,6.0,v45zt,False
17,CustomCrawl,Biotech & Pharmaceuticals,322.0,14.0,1212.0,4960.0,146.0,6.0,3.71767241379,6668.0,41250.0,1079,3.0,30.0,1,109489.0,0,7550.0,45.0,lzYJ9,True
18,WorkableHR.com,Computer Hardware & Software,1.0,0.0,6.0,8.0,0.0,0.0,5.0,60.0,84.0,216,,,0,0.0,0,25.0,2.0,ibRWd,False
